"species","N","Min","Max","Median","Mean","CI Left","CI Right","sd","std_error"
"Recurvirostra avosetta",4,0,1,0.5,0.5,-0.41869311551854,1.41869311551854,0.577350269189626,0.288675134594813
"Himantopus himantopus",7,1,13,4,5.85714285714286,1.34435769089427,10.3699280233914,4.87950036474267,1.84427778390829
"Chroicocephalus genei",14,0,11,2,3.07142857142857,1.35468204260306,4.78817510025409,2.97332462752713,0.794654432561697
"Thalasseus sandvicensis",8,1,10,1,2.5,-0.181231877354315,5.18123187735432,3.20713490294909,1.13389341902768
"Gelochelidon nilotica",5,1,21,2,6.6,-4.03055836770166,17.2305583677017,8.5615419172016,3.82883794381533
