"Species","class_0","class_1","class_2","class_3","class_4","class_5","class_6","class_7","class_8"
"Chroicocephalus genei",-0.0291712479382016,-0.585532335829738,0.21890735075805,-0.0726102941176471,-0.452544460416214,-0.452075014319487,-0.501352989072946,-0.420156943111818,-1
"Gelochelidon nilotica",-0.309938917257688,-0.258819073524119,-0.338712386733125,-0.241797063761659,-0.322269216781863,-0.168153355063367,-0.808274078862314,-0.200468134319972,NA
"Himantopus himantopus",0.0310668960433364,-0.292854147428511,-0.00822675360801711,-0.266279919884698,-0.079048243648824,-0.123822206560133,-0.0702480991246527,-0.0394771915557892,NA
"Recurvirostra avosetta",-0.0265043844241104,-0.542082457983193,-1,-0.237941650153026,-0.217894053361788,-0.0230644188409645,-0.764417047346138,-0.0321138579496967,NA
"Thalasseus sandvicensis",-0.00906709957132388,-0.136717835277082,-0.59047619047619,-0.0719584316236282,-0.220194944251635,-0.15706711477635,-0.413387977515418,-0.329815776341295,1
