"species","N","Min","Max","Median","Mean","sd","std_error","sum","lower_bound","upper_bound"
"Recurvirostra avosetta",2,2,3,2.5,2.5,0.707106781186548,0.5,5,1.89739341230353,3.29399267409293
"Himantopus himantopus",8,0,5,1,2,1.77281052085584,0.626783170528009,16,1.61065996187793,2.48345404658612
"Thalasseus sandvicensis",2,4,5,4.5,4.5,0.707106781186548,0.5,9,3.8586791257185,5.24790980028157
"Gelochelidon nilotica",6,1,6,3.5,3.33333333333333,1.75119007154183,0.714920352984241,20,2.80860213210921,3.9561000770041
