"species","N","Min","Max","Median","Mean","CI Left","CI Right","sd","std_error","sum"
"Recurvirostra avosetta",2,0,1,0.5,0.5,-5.85310236808735,6.85310236808735,0.707106781186548,0.5,1
"Himantopus himantopus",7,1,5,3,2.57142857142857,1.27916356128147,3.86369358157567,1.39727626201154,0.528120786019496,18
"Chroicocephalus genei",14,0,2,0,0.357142857142857,-0.00852735688226758,0.722813071167982,0.633323693776651,0.169262876931312,5
"Thalasseus sandvicensis",2,4,8,6,6,-19.4124094723494,31.4124094723494,2.82842712474619,2,12
"Gelochelidon nilotica",4,0,1,1,0.75,-0.0456115763209273,1.54561157632093,0.5,0.25,3
