"duration","start_stopover","end_stopover","stopover_id","species_id","vol_no"
0,NA,NA,NA,"2022_Thau_est_Darvic 20","Vol 1"
68.4666666666667,2022-09-12 10:33:08,2022-09-15 07:01:08,1,"2022_Thau_ouest_Darvic 03","Vol 1"
24.1488888888889,2022-09-17 13:03:10,2022-09-18 13:12:06,2,"2022_Thau_ouest_Darvic 03","Vol 1"
73.9158333333333,2022-09-18 16:14:12,2022-09-21 18:09:09,3,"2022_Thau_ouest_Darvic 03","Vol 1"
24.9,2022-09-22 10:07:11,2022-09-23 11:01:11,4,"2022_Thau_ouest_Darvic 03","Vol 1"
34.6930555555556,2022-09-25 07:01:31,2022-09-26 17:43:06,5,"2022_Thau_ouest_Darvic 03","Vol 1"
58.1636111111111,2022-09-28 07:31:20,2022-09-30 17:41:09,6,"2022_Thau_ouest_Darvic 03","Vol 1"
71.1677777777778,2022-10-01 18:11:08,2022-10-04 17:21:12,7,"2022_Thau_ouest_Darvic 03","Vol 1"
24,2023-11-24 09:30:57,2023-11-25 09:30:57,1,"2023_Thau_ouest_Darvic 29","Vol 1"
33.0669444444444,2023-11-26 04:00:54,2023-11-27 13:04:55,2,"2023_Thau_ouest_Darvic 29","Vol 1"
24.9980555555556,2023-11-27 14:05:01,2023-11-28 15:04:54,3,"2023_Thau_ouest_Darvic 29","Vol 1"
74.0172222222222,2023-11-29 12:32:54,2023-12-02 14:33:56,4,"2023_Thau_ouest_Darvic 29","Vol 1"
134.455833333333,2023-12-02 15:33:56,2023-12-08 06:01:17,5,"2023_Thau_ouest_Darvic 29","Vol 1"
47.3391666666667,2023-10-14 06:00:35,2023-10-16 05:20:56,1,"Thalasseus sandvicensis [FRP-GE13347]","Vol 1"
482.333055555556,2023-10-17 05:00:38,2023-11-06 07:20:37,2,"Thalasseus sandvicensis [FRP-GE13347]","Vol 1"
406.9975,2023-11-06 09:30:40,2023-11-23 08:30:31,3,"Thalasseus sandvicensis [FRP-GE13347]","Vol 1"
25.1616666666667,2023-11-24 07:51:01,2023-11-25 09:00:43,4,"Thalasseus sandvicensis [FRP-GE13347]","Vol 1"
380.666944444444,2023-08-25 21:36:30,2023-09-10 18:16:31,1,"Gelochelidon nilotica [FRP-GE13336]","Vol 1"
192.498888888889,2023-09-13 06:26:38,2023-09-21 06:56:34,2,"Gelochelidon nilotica [FRP-GE13336]","Vol 1"
1519.31722222222,2023-09-21 08:06:31,2023-11-23 15:25:33,3,"Gelochelidon nilotica [FRP-GE13336]","Vol 1"
73.1836111111111,2023-11-23 16:25:33,2023-11-26 17:36:34,4,"Gelochelidon nilotica [FRP-GE13336]","Vol 1"
129.066944444444,2023-08-02 18:56:50,2023-08-08 04:00:51,1,"Gelochelidon nilotica [FRP-GE13337]","Vol 1"
150.822777777778,2023-08-12 11:01:48,2023-08-18 17:51:10,2,"Gelochelidon nilotica [FRP-GE13337]","Vol 1"
344.250277777778,2024-07-22 14:15:53,2024-08-05 22:30:54,1,"Gelochelidon nilotica [FRP-GE13337]","Vol 2"
27.5311111111111,2024-08-09 09:00:58,2024-08-10 12:32:50,2,"Gelochelidon nilotica [FRP-GE13337]","Vol 2"
40.6333333333333,2024-08-10 13:32:50,2024-08-12 06:10:50,3,"Gelochelidon nilotica [FRP-GE13337]","Vol 2"
118.482777777778,2025-07-29 19:31:50,2025-08-03 18:00:48,1,"Gelochelidon nilotica [FRP-GE13337]","Vol 3"
63.1730555555556,2025-08-06 04:00:47,2025-08-08 19:11:10,2,"Gelochelidon nilotica [FRP-GE13337]","Vol 3"
55.3911111111111,2025-08-10 09:21:18,2025-08-12 16:44:46,3,"Gelochelidon nilotica [FRP-GE13337]","Vol 3"
89.3266666666667,2025-08-12 23:21:14,2025-08-16 16:40:50,4,"Gelochelidon nilotica [FRP-GE13337]","Vol 3"
104.175,2023-09-13 22:04:00,2023-09-18 06:14:30,1,"Gelochelidon nilotica [FRP-GE13338]","Vol 1"
120.669444444444,2023-09-20 07:03:55,2023-09-25 07:44:05,2,"Gelochelidon nilotica [FRP-GE13338]","Vol 1"
26.3258333333333,2023-09-25 08:54:30,2023-09-26 11:14:03,3,"Gelochelidon nilotica [FRP-GE13338]","Vol 1"
569.031666666667,2023-07-25 23:13:06,2023-08-18 16:15:00,1,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
33.4344444444444,2023-08-20 08:13:04,2023-08-21 17:39:08,2,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
106.55,2023-08-21 18:40:05,2023-08-26 05:13:05,3,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
102.698333333333,2023-08-26 06:13:11,2023-08-30 12:55:05,4,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
1045.30055555556,2023-09-02 17:25:02,2023-10-16 06:43:04,5,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
131.829444444444,2023-10-17 03:23:15,2023-10-22 15:13:01,6,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
158.1675,2023-10-22 16:13:01,2023-10-29 06:23:04,7,"Gelochelidon nilotica [FRP-GE13339]","Vol 1"
167.515833333333,2023-08-20 09:39:33,2023-08-27 09:10:30,1,"Gelochelidon nilotica [FRP-GE13341]","Vol 1"
29.7005555555556,2023-08-30 08:59:28,2023-08-31 14:41:30,2,"Gelochelidon nilotica [FRP-GE13341]","Vol 1"
403.649722222222,2023-09-01 10:50:31,2023-09-18 06:29:30,3,"Gelochelidon nilotica [FRP-GE13341]","Vol 1"
1401.07611111111,2023-09-18 08:40:57,2023-11-15 17:45:31,4,"Gelochelidon nilotica [FRP-GE13341]","Vol 1"
0,NA,NA,NA,"Gelochelidon nilotica [FRP-GE13341]",NA
0,NA,NA,NA,"Gelochelidon nilotica [FRP-GE13341]","Vol 2"
79.3177777777778,2025-08-15 12:00:31,2025-08-18 19:19:35,1,"Gelochelidon nilotica [FRP-GE13341]","Vol 3"
42.3352777777778,2025-08-21 11:29:33,2025-08-23 05:49:40,2,"Gelochelidon nilotica [FRP-GE13341]","Vol 3"
33.1691666666667,2023-09-10 06:35:49,2023-09-11 15:45:58,1,"Gelochelidon nilotica [FRP-GE13342]","Vol 1"
318.818333333333,2023-09-13 09:16:50,2023-09-26 16:05:56,2,"Gelochelidon nilotica [FRP-GE13342]","Vol 1"
164.793333333333,2023-09-28 20:36:11,2023-10-05 17:23:47,3,"Gelochelidon nilotica [FRP-GE13342]","Vol 1"
224.999444444444,2023-10-06 17:35:48,2023-10-16 02:35:46,4,"Gelochelidon nilotica [FRP-GE13342]","Vol 1"
46.4997222222222,2023-10-16 08:05:48,2023-10-18 06:35:47,5,"Gelochelidon nilotica [FRP-GE13342]","Vol 1"
44.9941666666667,2025-08-18 08:36:01,2025-08-20 05:35:40,1,"Gelochelidon nilotica [FRP-GE13342]","Vol 2"
30.1502777777778,2025-08-20 13:36:51,2025-08-21 19:45:52,2,"Gelochelidon nilotica [FRP-GE13342]","Vol 2"
36.6644444444444,2025-08-22 10:35:51,2025-08-23 23:15:43,3,"Gelochelidon nilotica [FRP-GE13342]","Vol 2"
192.333888888889,2023-08-28 21:46:56,2023-09-05 22:06:58,1,"Gelochelidon nilotica [FRP-GE13349]","Vol 1"
37.6666666666667,2023-09-09 06:16:59,2023-09-10 19:56:59,2,"Gelochelidon nilotica [FRP-GE13349]","Vol 1"
193.180555555556,2023-09-10 20:57:07,2023-09-18 22:07:57,3,"Gelochelidon nilotica [FRP-GE13349]","Vol 1"
213.999444444444,2025-08-05 21:17:00,2025-08-14 19:16:58,1,"Gelochelidon nilotica [FRP-GE13349]","Vol 2"
79.685,2025-08-18 08:16:56,2025-08-21 15:58:02,2,"Gelochelidon nilotica [FRP-GE13349]","Vol 2"
51.4655555555556,2025-08-21 16:59:01,2025-08-23 20:26:57,3,"Gelochelidon nilotica [FRP-GE13349]","Vol 2"
