"species","N","Min","Max","Median","Mean","sd","std_error","sum","lower_bound","upper_bound"
"Recurvirostra avosetta",3,1,6,3,3.33333333333333,2.51661147842358,1.45296631451356,10,2.0509000553045,5.41767556267456
"Himantopus himantopus",8,0,5,2,2.25,2.25198325291921,0.796196314628855,18,1.76238898010418,2.87252136568668
"Thalasseus sandvicensis",7,0,7,4,4,2.3094010767585,0.872871560943969,28,3.40387051689949,4.70053132766461
"Gelochelidon nilotica",13,0,7,3,3.30769230769231,1.65250392761083,0.458322126454346,43,3.06778712604159,3.56635840521437
