"species","N","Min","Max","Median","Mean","CI Left","CI Right","sd","std_error","sum"
"Recurvirostra avosetta",4,0,7,0.5,2,-3.35685536271416,7.35685536271416,3.36650164612069,1.68325082306035,8
"Himantopus himantopus",7,0,9,1,2.42857142857143,-0.899894448743828,5.75703730588668,3.59894164336975,1.36027208162721,17
"Chroicocephalus genei",14,0,5,0.5,1.35714285714286,0.354342850596638,2.35994286368908,1.73680267056552,0.464180038692156,19
"Thalasseus sandvicensis",8,0,9,0.5,3.375,-0.308306881789731,7.05830688178973,4.405759217855,1.5576711096102,27
"Gelochelidon nilotica",7,0,7,1,2.28571428571429,0.0383653966307747,4.5330631747978,2.42997158517582,0.918442929618377,16
