"longitude","latitude","individual","species","datatype","vol_no","phase"
-16.3395595550537,16.7472305297852,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3389053344727,16.7473487854004,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3380279541016,16.7472915649414,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3365097045898,16.7443408966064,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.337459564209,16.7477607727051,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3375930786133,16.7477264404297,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.337963104248,16.7474784851074,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3384380340576,16.747615814209,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3383255004883,16.7475261688232,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3444595336914,16.7473201751709,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3439102172852,16.7473583221436,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3439788818359,16.7474975585938,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3392848968506,16.7473316192627,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3391265869141,16.7471923828125,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.33762550354,16.747709274292,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3378753662109,16.7479782104492,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3368186950684,16.7446956634521,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3362903594971,16.7442855834961,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3383541107178,16.7478370666504,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3367500305176,16.7449855804443,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3250217437744,16.7364978790283,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3351898193359,16.7423572540283,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3330955505371,16.7431755065918,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3324165344238,16.7442989349365,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3272266387939,16.7517700195312,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3267459869385,16.7529754638672,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
