system:index,area,buffer_class_0,buffer_class_1,buffer_class_2,buffer_class_3,buffer_class_4,buffer_class_5,buffer_class_6,buffer_class_7,buffer_class_8,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,id,individual,percent,.geo
00000000000000000000,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.483091787188318,19.994656337892238],[-17.482663737981525,19.989920163404413],[-17.48233823329391,19.985475078987207],[-17.4749985074886,19.97628959263536],[-17.474084395974494,19.975555141247167],[-17.465496217957245,19.973647544314755],[-17.45944072248966,19.976289581326895],[-17.45690796050076,19.97765352369461],[-17.451302864353753,19.98547512874584],[-17.450535863406238,19.994656372691885],[-17.455182309882392,20.00383333663723],[-17.45690796050076,20.00555530676317],[-17.465496217957245,20.009247248066494],[-17.474084395974494,20.007458497462604],[-17.47833390868078,20.003833363486216],[-17.482663737981525,19.99559118490253],[-17.483091787188318,19.994656337892238]]]}"
00000000000000000001,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.30553036758616,20.261184450044997],[-17.304589526266525,20.25199272676522],[-17.30236886603367,20.248037196514026],[-17.29840026718714,20.24279196686407],[-17.293789587354144,20.23924267948839],[-17.285201311235937,20.237886046427228],[-17.276613148916436,20.24134929945319],[-17.2749632157036,20.24279195237414],[-17.268038269024576,20.25014396231758],[-17.26664255190006,20.25199269657498],[-17.26143431860329,20.261184485869006],[-17.259450065079246,20.267825484167147],[-17.258362028764793,20.270386366285337],[-17.25766198669208,20.27958877979631],[-17.259450065079246,20.28431436357958],[-17.261153468342517,20.288782093288738],[-17.26803826902458,20.29538601130302],[-17.27661314891644,20.297235317103475],[-17.28520131123594,20.294922451040083],[-17.292086232486206,20.28878213286538],[-17.293789587354144,20.28677044543325],[-17.298801580285897,20.279588766265444],[-17.30236886603367,20.271260691579098],[-17.302863817733332,20.27038636001506],[-17.30553036758616,20.261184450044997]]]}"
00000000000000000002,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.378115665862595,20.288782104376732],[-17.373210652312896,20.27958874905447],[-17.37105688288242,20.277529388687668],[-17.362468693314277,20.274342486744366],[-17.35388936368561,20.276664571693644],[-17.350634240059783,20.27958874914117],[-17.345751497312328,20.28878208277793],[-17.346286591544715,20.297985545240937],[-17.353349832572867,20.307189569349497],[-17.35388936368561,20.307629187694413],[-17.362468693314277,20.310200288524722],[-17.37025420914134,20.307189528303695],[-17.37105688288242,20.306812040079357],[-17.377558217861786,20.297985538710865],[-17.378115665862595,20.288782104376732]]]}"
00000000000000000003,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.573838931591087,20.897164481248964],[-17.57152468079614,20.887935227314333],[-17.5685237423694,20.884203353136144],[-17.559935486370616,20.879354002515814],[-17.551347234521888,20.88023181825511],[-17.54303553987146,20.887935151616105],[-17.542758987429416,20.888841750413604],[-17.54044924851194,20.897164469414747],[-17.542758987429416,20.904489672234774],[-17.54344129509911,20.906403787353607],[-17.551347234521888,20.913475275102478],[-17.559935486370616,20.91441563493951],[-17.5685237423694,20.909541302575967],[-17.571163490068926,20.90640384372174],[-17.573838931591087,20.897164481248964]]]}"
00000000000000000004,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.431834392937876,20.906403807828006],[-17.431152193881903,20.904624002193078],[-17.428097707717818,20.897164448028143],[-17.42256398550076,20.892127590287675],[-17.413984634872836,20.890204056958964],[-17.405396454524592,20.893964843202486],[-17.402395423549596,20.897164453971946],[-17.398730090961244,20.90640381175363],[-17.40034870363599,20.915643753444904],[-17.405396454524595,20.922293409814436],[-17.410600153120416,20.92487945030296],[-17.413984634872833,20.926717061773978],[-17.420445901712203,20.92487946206788],[-17.42256398550076,20.924399702009854],[-17.43022912067385,20.91564374265874],[-17.431152193881907,20.910016282168005],[-17.431834392937876,20.906403807828006]]]}"
00000000000000000005,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.61359180744474,20.980315022946332],[-17.61340459116678,20.971071213677],[-17.611442575943023,20.96757246369726],[-17.606666877881445,20.9618278802521],[-17.60285430899609,20.95912121197915],[-17.594279498669046,20.95831017913239],[-17.58810810080253,20.961827851895592],[-17.58569123414357,20.96392506507019],[-17.581441722728997,20.971071173089012],[-17.581223194233875,20.98031500976858],[-17.58569123414357,20.988234655162437],[-17.587109257867702,20.989559396996754],[-17.594279498669046,20.99369708022896],[-17.60285430899609,20.993049000226428],[-17.607589932732647,20.989559472724267],[-17.61144257594302,20.984366000231102],[-17.61359180744474,20.980315022946332]]]}"
00000000000000000006,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.446982037539087,20.971071153906802],[-17.444600843360433,20.961827870906248],[-17.43974041551577,20.955195687648384],[-17.437020391720072,20.95259475336011],[-17.431152193881903,20.947810465610242],[-17.42256398550076,20.945468703209077],[-17.413984634872836,20.94649565890503],[-17.405396454524595,20.95092474400845],[-17.40197626019679,20.95259471973825],[-17.396808199012252,20.95417358345335],[-17.388228892431616,20.954355911566136],[-17.379645089959055,20.95464388459652],[-17.37105688288242,20.958540547447754],[-17.367864158324977,20.961827873315563],[-17.36369044275917,20.97107117747492],[-17.36394018887864,20.98031500959136],[-17.367480691191606,20.989559447452883],[-17.37105688288242,20.994906639986084],[-17.373451384768366,20.99879480342515],[-17.37964508995906,21.007109059563625],[-17.38062167036455,21.00804033175942],[-17.388228892431616,21.016609469058455],[-17.396808199012252,21.016743931336983],[-17.405396454524595,21.01358982155841],[-17.41281634112888,21.008040283782154],[-17.413984634872836,21.00739228107233],[-17.42256398550076,21.002543851755227],[-17.42891373799762,20.99879475417029],[-17.431152193881907,20.997873113519432],[-17.43974041551577,20.99230503772672],[-17.44299106986459,20.989559468420975],[-17.44678130987344,20.98031499493357],[-17.446982037539087,20.971071153906802]]]}"
00000000000000000007,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.53800563475773,21.008040292834313],[-17.534179683928812,20.99972125964504],[-17.533666955075102,20.99879480336837],[-17.525591538161503,20.992228210929714],[-17.517003308683627,20.989617011021696],[-17.516815979173497,20.989559466147828],[-17.508423933472976,20.985786750105135],[-17.49983571867635,20.980526192855365],[-17.499496832326976,20.980315007184878],[-17.491247512273212,20.974464390229247],[-17.48266373798153,20.972155835877537],[-17.474084395974494,20.97293813757041],[-17.465496217957245,20.977924857701023],[-17.462495214988433,20.98031504764811],[-17.45690796050076,20.987413835632683],[-17.454294893593143,20.989559470643858],[-17.449037609645064,20.998794796147347],[-17.44832864979528,21.00051326283668],[-17.44488622810514,21.008040301097513],[-17.443989911667103,21.01728644253148],[-17.44679024513944,21.026523442913128],[-17.44832864979528,21.028583159008132],[-17.45690796050076,21.035247269763],[-17.46306151085813,21.035765859411143],[-17.465496217957245,21.03607792330323],[-17.466419235470635,21.035765836344336],[-17.474084395974494,21.034286998539848],[-17.482663737981525,21.03192955691227],[-17.491247512273215,21.030498816658042],[-17.49983571867635,21.029908301553693],[-17.50842393347298,21.030167528715296],[-17.517003308683627,21.030614055637386],[-17.5255915381615,21.02897679015704],[-17.5292568415264,21.026523474435898],[-17.534179683928812,21.021712790586133],[-17.53702016006047,21.017286409437485],[-17.53800563475773,21.008040292834313]]]}"
00000000000000000008,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.423379998370013,21.063501184734747],[-17.42256398550076,21.06217583483609],[-17.419941968179117,21.054252383781005],[-17.413984634872836,21.046795024065492],[-17.41266473225508,21.045013635255046],[-17.405396454524595,21.03735513219658],[-17.403844678195515,21.035765818003565],[-17.396808199012252,21.027757347969033],[-17.394319993789324,21.026523484427496],[-17.388228892431616,21.018481839640533],[-17.379645089959055,21.021141507353956],[-17.37105688288242,21.024982287092747],[-17.36890764297668,21.026523449968767],[-17.362468693314277,21.029024872223623],[-17.3546161987094,21.035765828412483],[-17.35388936368561,21.036553305213545],[-17.347222986604447,21.045013582068986],[-17.34530112043932,21.05305663918726],[-17.344832880906125,21.054252319117833],[-17.34530112043932,21.059284922042643],[-17.34550627999772,21.063501248615303],[-17.3500456354336,21.07275070498498],[-17.35388936368561,21.076583190565156],[-17.362468693314277,21.08100649658376],[-17.3685017977701,21.082000715220314],[-17.37105688288242,21.08277396556034],[-17.379645089959055,21.08384978503938],[-17.388228892431616,21.08491124798515],[-17.396808199012252,21.08597753065619],[-17.405396454524595,21.085737304277423],[-17.413984634872836,21.082284034328133],[-17.41448855680692,21.082000676158476],[-17.42256398550076,21.07315891363661],[-17.423094637240407,21.07275064741195],[-17.423379998370013,21.063501184734747]]]}"
00000000000000000009,3228.0505211713867,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,homerange,2022_Thau_central_Darvic 15_Hivernage1,95.0,"{""type"":""Polygon"",""coordinates"":[[[-17.46942019313286,21.082000701185354],[-17.46575481778338,21.072750672521092],[-17.46549621795725,21.072424143060875],[-17.45690796050076,21.066017653068396],[-17.44832864979528,21.065940810613426],[-17.43974041551577,21.070728833725976],[-17.43676624269817,21.07275068395474],[-17.43393912233637,21.08200064400992],[-17.437082755740313,21.091241676103028],[-17.43974041551577,21.094502993133467],[-17.448047683808763,21.10049282463468],[-17.44832864979528,21.10065609141786],[-17.456907960500764,21.100704151820526],[-17.45725572754973,21.100492781058158],[-17.465496217957245,21.09442619459478],[-17.467748075900133,21.091241611448595],[-17.46942019313286,21.082000701185354]]]}"
